label,example_id,dataset,old_name,new_name,delta_mean_nll,orig_mean_nll,sub_mean_nll,orig_num_tokens,sub_num_tokens,orig_tokens,sub_tokens,orig_token_nlls,sub_token_nlls,first_line,first_column,binding_context,selection_reason,original_test_passed,perturbed_test_passed
prefers_original,find_first_in_sorted,quixbugs,mid,middle,5.89923095703125,0.08123779296875,5.98046875,1,1,Ġmid,Ġmiddle,0.0812,5.9805,6,8,mid = (lo + hi) // 2,"'mid' is an internal local (unknown) appearing 8x; renaming to 'middle' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,get_factors,quixbugs,i,divisor,5.66357421875,0.55126953125,6.21484375,1,1,Ġi,Ġdivisor,0.5513,6.2148,5,8,"for i in range(2, int(n ** 0.5) + 1):","'i' is an internal local (index) appearing 4x; renaming to 'divisor' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,subsequences,quixbugs,i,start,5.0009765625,0.3427734375,5.34375,1,1,Ġi,Ġstart,0.3428,5.3438,6,8,"for i in range(a, b + 1 - k):","'i' is an internal local (index) appearing 3x; renaming to 'start' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,bucketsort,quixbugs,counts,frequencies,4.27734375,5.22265625,9.5,1,1,Ġcounts,Ġfrequencies,5.2227,9.5000,2,4,counts = [0] * k,"'counts' is an internal local (unknown) appearing 3x; renaming to 'frequencies' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,next_permutation,quixbugs,i,pivot_idx,3.4039713541666665,0.2080078125,3.6119791666666665,1,3,Ġi,Ġpivot _ idx,0.2080,7.6445 2.2402 0.9512,2,8,"for i in range(len(perm) - 2, -1, -1):","'i' is an internal local (index) appearing 9x; renaming to 'pivot_idx' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,flatten,quixbugs,y,subitem,3.33544921875,0.54345703125,3.87890625,1,2,Ġy,Ġsub item,0.5435,3.5586 4.1992,4,16,for y in flatten(x):,"'y' is an internal local (element) appearing 2x; renaming to 'subitem' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,topological_ordering,quixbugs,ordered_nodes,ordered,3.0882975260416665,2.1031087239583335,5.19140625,3,1,Ġordered _ nodes,Ġordered,5.1914 0.7964 0.3215,5.1914,2,4,ordered_nodes = [node for node in nodes if not node.incoming_nodes],"'ordered_nodes' is an internal local (unknown) appearing 6x; renaming to 'ordered' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,find_in_sorted,quixbugs,mid,middle,2.68701171875,0.39697265625,3.083984375,1,1,Ġmid,Ġmiddle,0.3970,3.0840,5,8,mid = start + (end - start) // 2,"'mid' is an internal local (unknown) appearing 6x; renaming to 'middle' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,rpn_eval,quixbugs,stack,operands,2.123046875,3.068359375,5.19140625,1,1,Ġstack,Ġoperands,3.0684,5.1914,10,4,stack = [],"'stack' is an internal local (unknown) appearing 6x; renaming to 'operands' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,detect_cycle,quixbugs,hare,fast,1.984375,6.7734375,8.7578125,2,1,Ġh are,Ġfast,7.7734 5.7734,8.7578,2,4,hare = tortoise = node,"'hare' is an internal local (unknown) appearing 6x; renaming to 'fast' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,shortest_path_lengths,quixbugs,length_by_path,distances,1.8944514751434327,1.4590641498565673,3.353515625,5,1,Ġlength _ by _ path,Ġdistances,3.7129 0.0908 0.1262 0.0002 3.3652,3.3535,4,4,length_by_path = defaultdict(lambda: float('inf')),"'length_by_path' is an internal local (unknown) appearing 8x; renaming to 'distances' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,kheapsort,quixbugs,heap,min_heap,1.3499552408854165,0.70068359375,2.0506388346354165,1,3,Ġheap,Ġmin _ heap,0.7007,5.1367 0.9136 0.1016,4,4,heap = arr[:k],"'heap' is an internal local (unknown) appearing 5x; renaming to 'min_heap' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,quicksort,quixbugs,pivot,pivot_value,1.32275390625,0.59814453125,1.9208984375,1,3,Ġpivot,Ġpivot _ value,0.5981,0.5977 1.8447 3.3203,5,4,pivot = arr[0],"'pivot' is an internal local (unknown) appearing 4x; renaming to 'pivot_value' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,knapsack,quixbugs,i,item_idx,1.2630208333333335,1.404296875,2.6673177083333335,1,3,Ġi,Ġitem _ idx,1.4043,1.0762 3.6973 3.2285,5,8,"for i in range(1, len(items) + 1):","'i' is an internal local (index) appearing 7x; renaming to 'item_idx' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,lcs_length,quixbugs,dp,table,1.1328125,3.69140625,4.82421875,1,1,Ġdp,Ġtable,3.6914,4.8242,4,4,dp = Counter(),"'dp' is an internal local (unknown) appearing 5x; renaming to 'table' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,powerset,quixbugs,rest_subsets,subsets,1.019073486328125,1.733612060546875,2.752685546875,4,2,Ġrest _ sub sets,Ġsub sets,2.8145 1.4805 2.4629 0.1766,4.9570 0.5483,4,8,rest_subsets = powerset(rest),"'rest_subsets' is an internal local (unknown) appearing 3x; renaming to 'subsets' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,max_sublist_sum,quixbugs,max_ending_here,current_sum,0.7840016682942708,0.8123931884765625,1.5963948567708333,5,3,Ġmax _ ending _ here,Ġcurrent _ sum,2.0566 0.1683 1.6709 0.1534 0.0126,4.1367 0.1320 0.5205,2,4,max_ending_here = 0,"'max_ending_here' is an internal local (unknown) appearing 4x; renaming to 'current_sum' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,sqrt,quixbugs,approx,guess,0.7265625,7.796875,8.5234375,1,1,Ġapprox,Ġguess,7.7969,8.5234,2,4,approx = x / 2,"'approx' is an internal local (unknown) appearing 6x; renaming to 'guess' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,mergesort,quixbugs,i,left_idx,0.6718343098958333,0.845703125,1.5175374348958333,1,3,Ġi,Ġleft _ idx,0.8457,2.3926 0.2167 1.9434,4,8,i = 0,"'i' is an internal local (index) appearing 6x; renaming to 'left_idx' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,sieve,quixbugs,primes,prime_list,0.664764404296875,0.966583251953125,1.63134765625,2,3,Ġpri mes,Ġprime _ list,1.9258 0.0074,2.3398 1.6797 0.8745,2,4,primes = [],"'primes' is an internal local (unknown) appearing 4x; renaming to 'prime_list' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,is_valid_parenthesization,quixbugs,depth,balance,0.6171875,6.0,6.6171875,1,1,Ġdepth,Ġbalance,6.0000,6.6172,2,4,depth = 0,"'depth' is an internal local (unknown) appearing 5x; renaming to 'balance' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,shortest_paths,quixbugs,weight_by_node,distance_by_node,0.2807025909423828,1.3237823963165283,1.604484987258911,5,5,Ġweight _ by _ node,Ġdistance _ by _ node,5.3633 0.2622 0.1494 0.0003 0.8438,4.5195 1.2822 1.5010 0.0005 0.7192,2,4,weight_by_node = {,"'weight_by_node' is an internal local (unknown) appearing 7x; renaming to 'distance_by_node' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,bitcount,quixbugs,count,bit_count,0.25439453125,2.330078125,2.58447265625,1,3,Ġcount,Ġbit _ count,2.3301,5.3125 1.8379 0.6030,2,4,count = 0,"'count' is an internal local (counter) appearing 3x; renaming to 'bit_count' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_original,shortest_path_length,quixbugs,unvisited_nodes,frontier,0.2236785888671875,1.92236328125,2.1460418701171875,4,2,Ġun visited _ nodes,Ġfront ier,5.6211 0.3491 1.4121 0.3071,4.2617 0.0304,4,4,"unvisited_nodes = [] # FibHeap containing (node, distance) pairs","'unvisited_nodes' is an internal local (unknown) appearing 6x; renaming to 'frontier' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,depth_first_search,quixbugs,nodesvisited,visited_nodes,-3.672403971354167,5.595703125,1.9232991536458333,2,3,Ġnodes visited,Ġvisited _ nodes,5.1094 6.0820,3.8809 1.6494 0.2396,2,4,nodesvisited = set(),"'nodesvisited' is an internal local (unknown) appearing 3x; renaming to 'visited_nodes' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,reverse_linked_list,quixbugs,prevnode,prev,-2.1953125,4.2109375,2.015625,2,1,Ġprev node,Ġprev,2.0156 6.4062,2.0156,2,4,prevnode = None,"'prevnode' is an internal local (unknown) appearing 4x; renaming to 'prev' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,kth,quixbugs,pivot,pivot_value,-2.032877604166667,6.1640625,4.131184895833333,1,3,Ġpivot,Ġpivot _ value,6.1641,6.1641 1.9912 4.2383,2,4,pivot = arr[0],"'pivot' is an internal local (unknown) appearing 4x; renaming to 'pivot_value' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,lis,quixbugs,longest,best_length,-1.9462890625,5.66796875,3.7216796875,1,3,Ġlongest,Ġbest _ length,5.6680,6.7070 1.6572 2.8008,3,4,longest = 0,"'longest' is an internal local (unknown) appearing 6x; renaming to 'best_length' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,possible_change,quixbugs,first,coin,-1.578125,5.16015625,3.58203125,1,1,Ġfirst,Ġcoin,5.1602,3.5820,7,4,"first, *rest = coins","'first' is an internal local (unknown) appearing 2x; renaming to 'coin' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,wrap,quixbugs,end,break_pos,-1.3837890625,4.65234375,3.2685546875,1,3,Ġend,Ġbreak _ pos,4.6523,5.7461 1.5752 2.4844,4,8,"end = text.rfind(' ', 0, cols + 1)","'end' is an internal local (unknown) appearing 5x; renaming to 'break_pos' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,breadth_first_search,quixbugs,queue,frontier,-1.3360214233398438,2.75,1.4139785766601562,1,2,Ġqueue,Ġfront ier,2.7500,2.8125 0.0155,4,4,queue = Queue(),"'queue' is an internal local (unknown) appearing 5x; renaming to 'frontier' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,hanoi,quixbugs,steps,moves,-1.0546875,6.03125,4.9765625,1,1,Ġsteps,Ġmoves,6.0312,4.9766,2,4,steps = [],"'steps' is an internal local (unknown) appearing 5x; renaming to 'moves' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,minimum_spanning_tree,quixbugs,group_by_node,component_by_node,-0.7416524887084961,2.92281494140625,2.181162452697754,5,5,Ġgroup _ by _ node,Ġcomponent _ by _ node,10.5078 0.6030 1.1826 0.0530 2.2676,7.4336 0.6094 1.7246 0.0015 1.1367,2,4,group_by_node = {},"'group_by_node' is an internal local (unknown) appearing 8x; renaming to 'component_by_node' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,to_base,quixbugs,result,result_str,-0.66162109375,3.84765625,3.18603515625,1,3,Ġresult,Ġresult _ str,3.8477,3.8477 4.8984 0.8120,3,4,result = '',"'result' is an internal local (result) appearing 4x; renaming to 'result_str' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,pascal,quixbugs,r,row_idx,-0.5237630208333335,2.76171875,2.2379557291666665,1,3,Ġr,Ġrow _ idx,2.7617,2.0898 2.6875 1.9365,3,8,"for r in range(1, n):","'r' is an internal local (index) appearing 5x; renaming to 'row_idx' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,shunting_yard,quixbugs,opstack,operators,-0.3341064453125,2.0938720703125,1.759765625,2,1,Ġop stack,Ġoperators,4.0156 0.1721,1.7598,10,4,opstack = [],"'opstack' is an internal local (unknown) appearing 7x; renaming to 'operators' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
prefers_substitute,next_palindrome,quixbugs,high_mid,right_mid,-0.2972005208333339,5.578776041666667,5.281575520833333,3,3,Ġhigh _ mid,Ġright _ mid,7.3086 1.1152 8.3125,6.8086 0.8252 8.2109,2,4,high_mid = len(digit_list) // 2,"'high_mid' is an internal local (unknown) appearing 7x; renaming to 'right_mid' preserves its role, collides with nothing in source_code, and is not a parameter/import/global/attribute.",,
